Place Name,Rating,About Place
Jalan Besar,2.5,"Jalan Besar is a one-way road in Singapore, connecting Kallang to Rochur. Meaning 'wide road' in Malay, Jalan Besar has been increasingly developing as one of Singapore's newest and most popular hipster joints. Earlier known for its rubber factories and industrial plants, Jalan Besar is now popular for delicious cupcakes, seafood, artisanal coffee and even traditional Singaporean food. Alongside these cafes, the Jalan Besar Stadium also draws many visitors to this area."
The Intan,2.5,"The Intan is an unconventional museum that preserves all things Peranakan over 20 years now. Extremely famous for its signature tea experience, the Intan is concealed in a Joo Chiat Terrace House. Visitors especially come here to witness the Peranakan tea culture which the Intan museum-cum-house perfectly does justice to. It is a must-visit to have a sneak-peek into the grandeur of the heritage and way of living of the Peranakans."
Tiong Bahru,2.5,"Tiong Bahru is Singapore's hippest neighbourhood with some of the city's most popular food and lifestyle establishments. Built between the 1930s and 50s, comprising grid-like streets of whitewashed, three-storey, spiral-staircase apartments, this was the country's first public housing project. A few buildings are architecturally unique for looking like aeroplane wings. The area doesn't only have cafes and restaurants, but also amazing bookshops, patisseries, spas, and art galleries! Enjoy some amazing food, offbeat shopping, a yoga session, or even a grooming session, while having a taste of the culturally rich, traditional Singapore. Tiong Bahru is one of Singapore's most characterful neighbourhoods, a favourite amongst locals and tourists, alike."
Yueh Hai Ching Temple,NaN,"Well known as Wak Hai Cheng Bio, Yueh Hai Ching Temple is one of the oldest Taoist places of worship in Singapore. Located in Raffles Place in the heart of Singapore’s central business district, the temple is dedicated to Xuan Tian Shang Di and Tian Hou Sheng Mu, and is also known as the 'Temple of Love'. Yueh Hai Ching Temple has a mesmerising asymmetric layout that reflects Chinese architecture with immense Taoist influence making it a must-visit for people who love exploring ancient architecture or have a spiritual bent of mind."
Nanyang Academy Of Fine Arts,2.5,"Nanyang Academy of Fine Arts, or more famously NAFA, is one of the most prestigious schools for Arts in Singapore. Established in 1938, the well-reputed academy is spread across four campuses which are within walking distance from each other. Aside from its quality education and diverse curriculum, the Academy is well known for its various galleries and events. These galleries and exhibits are often open for public visitation and are highly recommended for those with interest in the Arts."
Sundaram Tagore Gallery Singapore,2.5,"The Sundaram Tagore Gallery is a modernist contemporary art gallery located in the Gillman Barracks near Labrador Park. Founded in 2000 in New York, the gallery looks to explore the contrast and interactions between different cultures of the world with its interactive, post-modern exhibitions. The gallery in the Lion City specializes in Southeast Asian artists and their heritage. This venue is frequented by Singapore’s elite connoisseurs of art, history buffs, students, and curious tourists alike."
Cycling at Pulau Ubin,2.5,"Away from the busy traffic and the blaring horns, from the soaring skyscrapers and the bustling highways, explore your way through the peaceful streets of Pulau Ubin at your own pace on a bicycle. Situated off the coast of north-eastern Singapore, Pulau Ubin, which means ""Granite Island"", is endowed with towering coconut trees which sway with the cool breeze, wonderful shorelines, and an abundance of flora and fauna. Explore the scenic beauty of this dense island, teeming with fascinating wildlife like monkeys, wild boars and Malayan water monitors, surrounded by bright and beautiful flowers while breathing in the fresh, unpolluted air."
People's Park Complex,2.5,"Located within People's Park on Eu Tong Sen Street, the People's Park Complex is a high rise residential and commercial building. 31 storeys high, it was the first of its kind shopping complex in Southeast Asia due to its unique architecture which combined a shopping complex topped with apartments and offices. Situated in the heart of Chinatown, the People's Park Complex is visited for its electronic shops, massage parlours, and food stalls (which are the main draw)."
Malay Heritage Center,2.5,"Reopened on September 1st, 2012, the Malay Heritage Center exhibits the culture, history and heritage of the Malay Singaporeans. Malay Heritage Center is located at the Sultan Gate in Kampong Glam and is a museum and cultural centre. It is made up of several magnificent bungalows, set in a beautifully landscaped garden. The original two-storey building used to belong to the local Sultan and was known as the Sultan's Palace or Istana Kampong Glam."
Splash N Surf,2.5,The Splash and Surf Water playground is located on the 3rd level of the Kallang Wave Mall and is the perfect refuge from the scorching sunlight and heat. It is a small but beautiful spot for young kids to enjoy the day and also a great way for adults to spend fun leisure time with family and friends!
DUCKtours Singapore,2.5,"Calling themselves the amphibious craft, Singapore ducktours is an award-winning tourist attraction that offers you a city tour, but on a boat. First of its kind in Singapore, they have a safety record of over 15 years and has carried more than a million passengers. Duck Tours function throughout the day on an hourly basis till 6 in the evening. This one-hour long city tour starts by touring the historic Civic district and then starts off with the harbour tour which is done on an amphibious vehicle from Vietnam. It departs from the Suntec City and continues along the Marina Bay. The Boarding location is Suntec City, #01-330. The guide entertains you with quirky facts and anecdotes. The Ducktours has a live commentary in different languages throughout their 60 minutes journey. The languages include English, Mandarin, Bahasa, Indonesia, Korean and Japanese."
Port Of Lost Wonder,2.4,"Port of Lost Wonder is a popular children's waterpark located on Sentosa Island, Singapore. It is a sought-after place to visit amongst tourists, as well as the locals, to enjoy a day out with family, and is the perfect destination for families with small children between the ages 3 years to 10 years old."
Jurong East Malls,2.4,"Found in the busy district of Jurong East, the shopping malls of Jurong East have earned recognition worldwide as being entertainment centres of global standards. One can see a variety of facilities such as Singapore's first Olympic-size ice rink, IMAX theatres, cineplexes, sky parks, a marine-themed playground, a gym with swimming pool, and other kinds of themed playgrounds, all concentrated in one area. Shoppers and visitors will be delighted by the diverse range of retail stores and the numerous food and beverage options found within these massive malls."
Amitabha Buddhist Centre,2.4,"Located in Geylang, Singapore, Amitabha Buddhist Centre is a centre for the study, and practice of Mahayana Buddhism. This seven-storied Tibetan Buddhist Centre aims at enlightening people and dispelling darkness from their lives by spreading Buddhist teachings and values which includes teaching the history and development of Buddhism in the region. This Buddhist Centre is for those who are inclined towards Buddhism and have a spiritual bent of mind."
Mizuma Gallery,2.4,"Mizuma Gallery, the brainchild of Sueo Mizuma, is a contemporary art gallery in the art cluster of Gillman Barracks, Singapore. Since its establishment in September 2012, following the footsteps of its famous predecessor in Japan, Mizuma Gallery has been the point of confluence of South Eastern and Eastern art, and a medium to expand them into the international art scene. The gallery also focuses on the promotion of Japanese art to the world, making it an ideal place to visit for the art lovers."
Cape of Good Hope Art Gallery,2.4,"The Cape of Good Hope Art Gallery, located at 231 Bain Street Singapore, showcases and promotes the emerging Singaporean talent. Acting as a platform to display the artwork of several second-generation Singaporean artists, Cape of Good Hope has been hosting frequent exhibitions and participating in art forums and fairs since the beginning, and today, it has become one of the pioneering art galleries of the nation."
Partners & Mucciaccia,2.4,"Partners and Mucciaccia is an art gallery that provides space to artists who work on images through innovation and create an extraordinary adventure and constantly emphasize the art. The Gallery opened in 2006 and slowly made its way through the countries and is now in Singapore, since 2012. It focuses on the 20th Century artists that are proven to be historically significant. It holds solo exhibitions for international artists and also showcases artists from the region."
Red Dot Design Museum,3.4,"The Red Dot Design Museum, located located along Waterfront Promenade at Marina Bay is an innovative design gallery of gadgets and art. The boutique museum is a branch of the Red Dot Design Museum in Germany and showcases over 200 contemporary designs - all of which are winners of the International Red Dot Design Award, which is considered to be one of the most prestigious design competitions of the world."
Pasir Ris Park,3.4,"Spread along the northeastern coast of Singapore, the Pasir Ris Park is a tranquil 70-hectare waterside park, ideal for a fun day with family. Apart from the usual activities like water sports, cycling, gardening, peaceful Pasir Ris is known for the 6-hectare mangrove forest boardwalk. There are also 65 barbecue pits (bookable and payable on the official website), making it one of the most popular picnic spots in the country."
Cavenagh Bridge,3.4,"One of the oldest and most recognizable bridges in Singapore, the Cavenagh Bridge is also the only suspension bridge which spans the lower reaches of the Singapore River. Completed in 1869 and built to celebrate 50 years of the founding of Singapore by Raffles in 1819, the Cavenagh Bridge was one of the first suspension bridges in all of Southeast Asia. Today, the bridge stands as a major tourist attraction, which people love to visit to enjoy a peaceful walk in solitude or to simply stand and watch the ferries pass by."
Lian Shan Shuang Lin Monastery,3.3,"Lian Shang Shuang Lin Monastery known earlier as the Siong Lim Temple is a Buddhist monastery based at Toa Payoh, Singapore. The serene monastery consisting of seven different floors that are topped with a gold Pagoda and bears a likeness to the 800-year-old Fujian temple, Shanfeng. This breathtaking temple monastery out as a place of worship amidst the concrete haze of the city."
Rainforest Kidzworld,3.3,"Located within Singapore Zoo is the super fun playground for kids called Rainforest Kidzworld. Specifically designed for kids, the playground features a water play area where kids can splash and jump till their feet get tired; get to meet farm animals and get close and cosy with furry pals like cute little bunnies."
Sands SkyPark,NaN,"Sands SkyPark is the observation deck located at the spectacular Marina Bay Sands. The humungous wooden deck lies atop the three hotel towers and seems to be floating above the city and all its skyscrapers. Situated on the 57th floor, Sands SkyPark provides a magnificent 360-degree bird's eye view of the entire city, all the way from the Marina South Pier to the Singapore Strait."
Sri Krishnan Temple,3.3,"Impossible to miss while visiting Waterloo Street, the colourful Sri Krishnan Temple is a Hindu temple in Singapore dedicated to Lord Krishna and his consort Rukmini. Initially established as a tiny shrine under a banyan tree, the temple today comprises of a large prayer hall and a massive four-storeyed annexe, contained within a 1008 square metre compound. Standing in close proximity to the Kwan Im Thong Hood Cho Temple, Sri Krishnan Temple draws pilgrims and tourists from various religious and ethnic backgrounds."
8Q SAM,3.3,"SAM at 8Q - which stands for Singapore Art Museum - is the extension of the Museum’s main building, named so because of its location on 8 Queen Street. The experimental art gallery is located 88 steps away from the main building, adding to its quirky charm. The youngest annex of the Art Museum, SAM at 8Q houses the most diverse and unconventional art exhibits – the contemporary paintings, sculptures, photographs, performance art, sound art, and other new media interactive exhibits here are a favourite among art connoisseurs, the hip crowd, and tourists alike."
Chek Jawa Visitor Centre,3.3,"A quaint little cottage situated on the eastern part of the island of Pulau Ubin, the Chek Jawa Visitor Centre is housed in the structur of the former House No. 1, which was built as a holiday home by the British during the colonial era. As it was built around 80 years ago, the cottage, which is situated among dense foliage, has architectural features which are reminiscent of Tudor style buildings, characteristic of 16th century England."
Kent Ridge Park,3.3,"The Kent Ridge Park is a sprawling 47-hectare park situated at Kent Ridge, between the Singapore Science Park and the National University of Singapore. It is one of the declared eleven sites of the Second World War in Singapore along with being one of the four primary bird-watching sites in the Lion City. Kent Ridge is popular among nature lovers, bird watchers and fitness enthusiasts owing to its well-paved landscape teeming lush vegetation and diverse wildlife."
ReDot Fine Art Gallery,3.3,"Singapore boasts of vibrant paintings, unconventional sculptures and extraordinary architecture. Even if art is not your forte, the sight of the artistic features at every nook of this bustling city-state is sure to mesmerize you. Of the several art galleries spread across Singapore, the fascinating ReDot Fine Art Gallery is one that stands out. Established in 2004, the ReDot Fine Art Gallery was originally a quaint 'Peranakan' shophouse that was later transformed into the beautiful, sophisticated art gallery we see today, located within the Chinatown precinct. This extensive gallery remains unique in the sense that it is the only gallery in Singapore which exhibits Australian Indigenous Art."
Thow Kwang Pottery Jungle,3.3,"The Thow Kwang Pottery Jungle is a pottery studio and home to the oldest surviving dragon kiln in Singapore, located near Jurong Eco Park in West Singapore. Built in the 1940s, this studio hosts regular workshops for the whole family on pottery, archery, soap making, painting, and the art of wood-firing. Set in a quiet, rustic atmosphere, Thow Kwang Pottery Jungle is well worth a visit for anyone who wants to experience what Singapore used to be like before the trend of development and industrialisation set in."
Abdul Gafoor Mosque,3.3,"Abdul Gafoor Mosque is one of Singapore's most important mosques located in Little India. Gazetted as a protected national monument, it showcases an eclectic mix of Southern Indian, Victorian and Moorish architectural styles. A major highlight is a sundial crowning the main entrance. Each of its 25 rays is decorated with Arabic calligraphy denoting names of 25 prophets."
Sri Senpaga Vinayagar Temple,3.3,"Located at Ceylon Road in Singapore, the Sri Senpaga Vinayagar Temple is a 150-year-old Hindu temple dedicated to Lord Ganesha. The temple is most famous for the four granite structures depicting Lord Ganesha in 32 poses. This was the successful work of 20 Indian artisans who spent 20 years on this masterpiece."
Singapore Musical Box Museum,3.3,"Positioned adjacent to Thian Hock Keng Temple, Singapore Musical Box Museum is the first musical box museum to have ever been opened in Singapore. The museum attracts visitors that come here to gain knowledge regarding the rise of musical boxes in Singapore during the 19th century."
Jamae Mosque,3.3,"Jamae Mosque is one of the oldest mosques in Singapore, located in Chinatown, Central Area. Also known as Masjid Jamae, Chulia Mosque, and Periya Palli by the local Tamil-Muslim community, this two-hundred-year-old place of worship is an iconic landmark in Chinatown, standing out with its distinctive Indo-Islamic architecture among the Oriental buildings. The first mosque built by the south Indian migrant Chulia Muslim community, this shrine is frequented by pious tourists and locals, history buffs, and architecture enthusiasts."
Kuan Im Tng Temple,3.3,"The vibrant Kuan Im Tng Temple is situated at the heart of Joo Chiat in Tembeling Road Singapore and is thronged by devotees throughout the year. In addition to being a temple, Kuan Im Tng (devoted to Kuan Yin, the Goddess of Mercy) also doubles as a spiritual hub for the Buddhist fraternity and home to the religions of Taoism and Confucianism. This feature makes Kuan Im Tng Temple stand out from the other temples, as it has managed to accommodate the essence of three different religions with panache into the ""Xian Tian Sect"". If seeking peace and quietude, make sure to visit this place on weekdays."
Lorong Buangkok,3.3,"Kampong Lorong Buangkok is a traditional village located in Hougang, a residential town in North-Eastern region of Singapore. Popular as the last remaining village on mainland Singapore, this rustic place provides a link to the past of the Lion City. The houses in this 'kampuang', inhabited by 30 families, are reminiscent of an earlier, quieter era, with wooden houses and tin roofs, lush green trees and dirt roads. The thirty or so families who reside here, lead a relaxed life in their 'kampung', in deep contrast with the skyscrapers so clearly visible behind their village."
Sakya Muni Buddha Gaya Temple,3.3,"Sakya Muni Buddha Gaya Temple is a Buddhist monastery situated at Singapore' Little India. Known for housing one of the tallest Buddha statues, it is also popular as the ""Temple of Thousand Lights"". The 15 feet high statue and the architecture of the temple are known to be influenced by Thai, Indian, and Chinese styles."
Sri Vadapathira Kaliamman Temple,3.2,"Sri Vadapathira Kaliamman Temple is a Hindu Temple located on 555 Serangoon Road of Little India. It is dedicated to Vadapathira and Kaliamman deities, the female counterpart to the Brihadeeswarar Temple located in Thanjavur of the Indian state of Tamil Nadu."
Chestnut Park,3.2,"Chestnut Nature Park is the largest national park in Singapore, located on the eastern end of Chestnut Avenue near Central Catchment Nature Reserve. Spread over a whopping 81 hectares, the Park is home to meticulously set-up exclusive walking, hiking, and mountain biking trails. The only nature park in Singapore with separate trails for these activities, Chestnut Nature Park is also known for its rich biodiversity, making it a great location for photographers, bird lovers, nature enthusiasts, and families."
The Arts House Singapore,3.2,"The Arts House is a venue for literary, performing, and visual arts located at Old Parliament Lane, Singapore. Known to the locals as the Old Parliament House, the Arts House occupies the 200-year-old building that housed Singapore’s first parliament. Now a gazetted national monument, this space presents a brilliant juxtaposition of colonial architecture, historically significant venues, and the performing arts."
First Generation Sculpture,3.2,"The First Generation Sculpture is a major tourist attraction which adorns the banks of the Singapore River near the Fullerton Hotel. It is one of the rarest pieces of art, portraying five boys playing by the bank. It has beautifully captured the essence of the carefree days of the first immigrants of Singapore by freezing the motion of the boys about to jump into the river, naked.
In the former days, swimming in the river was a common pastime. The Singapore River was but a huge swimming pool, and the residents had the time of their lives in it. This life-like sculpture is a revival of the fun-filled days of Singapore as it used to be earlier."
Old Hill Street Police Station,3.2,"An architectural marvel, the Old Hill Street Police Station is a famed neo-Renaissance building of the former police station in Singapore. Located in the Central Area of Singapore's Central Business District, the building is popular for the techni-coloured shutters - the 927 painted windows with an array of radiant colours is a popular spot among photography enthusiasts and art lovers. Formerly MICA Building, the Old Hill Street Police Station houses a string of well-known commercial art galleries."
Padang Singapore,3.1,"The Padang is an open expanse field located within the Downtown Core of Central Area of Singapore. The Padang, which translates into 'Field' in Malay, has its own share of history. Today, owing to its central location and historical importance, the Padang is a popular venue for events (including the Singapore National Day Parade), recreational activities and sports. On one side of it lies the Singapore Recreation Club and on the other lies the Singapore Cricket Club. Some of the games played here include football, rugby, hockey, line dancing, and cricket."
Loyang Tua Pek Kong,3.1,"The Loyang Tua Pek Kong is a multi-religious temple in Singapore, hosting three varied religions under a single roof - Hinduism, Buddhist and Taoism. En route Changi Village, this all-faith temple even has a shrine dedicated to Datuk Kung, a Malay mystic saint. Epitomizing the cosmopolitan soul of Singapore, Loyang Tua Pek Kong houses a 2-metre tall statue of Lord Ganesh, believed to the tallest in the country. Marvel at the intricate wooden carvings and hundreds of dazzling sculptures of different deities."
Sri Thendayuthapani Temple,3.1,"Sri Thendayuthapani Temple, on Tank Road, is one of Singapore's most beautiful and vibrant temples. Completed in 1859, it is also one of the oldest. Since the temple was built by the Nattukkotai Chettiyar community, who were Shaivas or worshipers of Lord Shiva, the temple is also often called Chettiyar's Temple. It is constructed in Dravidian, or South Indian style of architecture, whose highlight is the colourful roof, or the gopuram. The interior of the temple is large and spacious. The pillars and a part of the ceilings are done in a beautiful golden colour. The magnificence, and vibrancy of the temple led it to be gazetted as a National Monument in October 2014."
Sri Sivan Temple,3.1,"Situated at the Geylang Avenue in Singapore, the stupendous Sri Sivan Temple is a place of worship of the Hindu God, Lord Shiva, the presiding deity of the temple. This magnificent temple can very well be considered as a modern structure, with the fusion of both South and North Indian architectural influences adding to the aura of this holy place. There are six main prayers held here on a daily basis, and the temple has a specific time for the performance of the same."
STPI Singapore,3.1,"The Singapore Tyler Print Institute is a renowned international space for artistic experimentation in contemporary art through print and paper mediums. Located next to National Gallery Singapore and Singapore Art Museum, the STPI or Singapore- Creative Workshop & Gallery is an ideal place for such tourists that have a creative bent of mind and love exploring the world of art. It’s a non-profit entity that is dedicated to offering support to budding artists in creating modern artworks as well as to offer expertise in areas like printing."
Burmese Buddhist Temple Singapore,3.1,"Burmese Buddhist Temple is one of the most popular among the myriad of Buddhist temples in Singapore, located near the Sun Yat Sen Nanyang Memorial Hall. This place of worship is the oldest Theravada institution and the sole Burmese Buddhist Temple with traditional Burmese architecture in Singapore. The colossal temple is guarded by two lion-like figures, known as chinthes, along with a huge, pure white marble statue of Buddha, which is a sight to behold."
Capitol Theatre Singapore,3.1,"Capitol Theatre, also known as Kyo-Ei-Gekijo, is situated in the heart of Singapore’s civic district. It is a historic cinema and theatre which was designed by Richard Meier and Partners and is known to become South-east Asia’s largest single-screen cinema. The Capitol Theatre in Singapore is an epicentre of creativity which hosts several theatre and dance productions."
Parliament House Singapore,3.1,"The Parliament House of Singapore is an important and significant landmark of the city. Situated in the municipal district of Downtown Core, it is a public and cultural building that has been in function since 1999 and open to public proceedings. The Parliament building is designed in resemblance to a contemporary architectural manifestation of stateliness and authority. The highlight of Singapore's Parliament House is the grand entrance hall -  featuring a curved marble wall and flanked by two swweeping staircases that lead to the main chamber. The proceedings of the Parliament House is open to the public."
Leong San See Temple,3.1,"Leong San See Temple is a Buddhist place of worship located in Little India. First built in 1926, this shrine is dedicated to Guan Yin or Bodhisattva Avalokitesvara, the Taoist Goddess of Mercy. Literally translating to ‘Dragon Mountain Temple,’ it is famed for its intricate, ornate roof carvings and serene locale."
Hajjah Fatimah Mosque,3,"The Hajjah Fatimah Mosque, located in the Kampong Glam area of Singapore, is one of the only three mosques in Singapore to be named after a benefactress. Fatimah was a Malaccan woman who accumulated huge amounts after taking over her deceased husband's business. The most prominent feature of Masjid Hajjah Fatimah is its minaret, often referred to as ""Singapore's Leaning Tower"", which is a four-level minaret tilting at a six-degree angle due to moisture seepage. Besides this, this mosque is said to resemble the St.Andrew's Cathedral at the City Hall."
Siang Cho Keong Temple,3,"The sacred Taoist temple Siang Cho Keong Temple, sitting in a quiet corner of Amory Lane in Singapore, was established in 1867 by the local Hokkien Community. Formerly known as Zhi Yun Miao, the humble sanctuary was built on its chosen site because it is resembled good feng shui, with a sea in front and a hill behind this holy structure, and has stood on the same location. The Siang Cho Keong Temple is usually overlooked by many since it does not draw a lot of attention as compared to the other Chinese temples in Singapore. However, it can be considered as one of the most underrated temples in the Lion City."
NUS Museum,3,"Singapore. The city that is as reputed for its rich cultural heritage as for its discotheques, where the number of people thronging in museums go hand in hand with the crowds in the clubs. Here, the preservation of its heritage is not neglected just because new buildings are coming up every day. Singapore makes sure that the history buffs have no dearth of places to seek solace. One such place which houses the artefacts bearing witness to Singapore's rich history is the NUS Museum. Adorning the main campus of the National University of Singapore in Kent Ridge since 2002, the museum is the oldest of all the university museums dotted across the city-state. Delve into the deep history while taking in the magnificent Southeast Asian, Chinese and Indian collections."
Jurong Frog Farm,2.9,"Singapore is home to a variety of unconventional places, with surprises around each corner for the uninformed tourist. Jurong Frog Farm is one of them, with a number of fun-filled activities revolving around its central frog theme, from feeding frogs to eating frog meat."
Ang Mo Kio Town Garden,2.9,"Singapore is home to several parks and gardens, including the lush community park, Ang Mo Kio Town Garden East, spread out at the junction of avenues 3 and 8 of Ang Mo Kio. Situated just behind the Ang Mo Kio MRT station, and a famous tourist attraction, the Ang Mo Kio Town Garden comprises of two public parks: the East Park and the West Park. Both of these parks offer a recluse from the mayhem of everyday city life that is so characteristic of Singapore, and this is precisely why they are gaining more and more popularity each day."
Hong San See Temple,2.9,"Situated at the Mohamed Sultan Road in the river valley region within the central area, Hong San See is a Chinese temple dedicated to Guang Ze Zun Wang, the Chinese God of Fortune. Hong San See, meaning 'Temple on Phoenix Hill', is built on a slightly elevated ground. The temple is beautifully preserved and is an epitome of Southern-Chinese temple architecture, making it worth visiting while in the area."
Hay Dairies Farm,2.9,"The only goat farm to exist in Singapore since 1988, Hay Dairies is now home to over 800 goats of mixed breed, with their origin heritage from Minnesota in the United States. Not only is the farm one of the leading suppliers of pure goat milk all across Singapore, but it also welcomes visits by individual tourists and families, who are keen to witness the functioning of a farm. For larger groups, the farm also organizes educational tours, and visitors get a firsthand experience of the production of milk."
Katong Antique House,2.8,"The Katong Antique House is a two-storied antique shop located in the Katong area of East Singapore. Part shop and part museum, it is owned by Peter Wee, a fourth-gen Baba Peranakan. The museum houses Nyonya artefacts and sells Peranakan goods. It is a representation of the Peranakan presence in Singapore. Peter gladly takes the visitors through a remarkable collection of Peranakan antiques, artefacts and other objects while sharing his tales of history and culture of the Peranakan family."
Thian Hock Keng Mural,2.8,"The Thian Hock Keng Mural is a 40m long painting on the rear wall of the iconic 177-year-old Thian Hock Keng Temple. A gorgeous work of art displaying fine craftsmanship, the Mural tells the story of the early Hokkien immigrants of Singapore, right from the very beginning. Read from right to left, it beautifully depicts the struggles of the early immigrants, the pain they had to go through when they left their families behind in China, and the hard work and labour they put into building the Singapore we see today."
Science Centre Singapore,2.5,"Science Centre Singapore, located in Jurong East, is a scientific institution having around a thousand exhibits spread over fourteen exhibition galleries. Formerly known as the Singapore Science Centre, this geeky science museum houses the largest collection of educational material related to science in the Lion City."
Civilian War Memorial,3.3,"The Civilian War Memorial is a monument dedicated to the civilians that lost their lives during World War II. Located within War Memorial Park at Beach Road in Singapore’s Central Area, this memorial is a sombre reminder of the perils of the Japanese Occupation in the country and is a symbol of hope for post-war Singapore. The monument is an iconic heritage landmark in the Lion City today, frequented by locals and tourists alike."
Orchidville,2.2,"Orchidville is one of the public farms at Kranji Farms in the northern part of the city. The largest orchid farm in Singapore, it showcases many varieties of the orchid on 43 hectares of land occupying the Mandai Agrotechnology Park."
Singapore International Festival Of Arts,NaN,"The Singapore International Festival of Arts is a popular festival of arts held at the Arts House that transforms into the Festival House for the duration of the event. It is situated at 1 Old Parliament Lane, Singapore and is a popular form of entertainment for art lovers from all walks of life and communities in Singapore.  It thus becomes an arena for artists from all over the world to display their art forms and participate in discussions & workshops while interacting with the audience over a glass of wine and sumptuous food."
Sultan Mosque Singapore,4.5,"Majestically standing in the historic district of Kampong Glam, the Sultan Mosque (Masjid Sultan) is Singapore's largest mosque and focal point of the Muslim community in the Lion City. Seemingly pulled out of the Arabian Nights, the enchanting mosque is constructed in the Indo-Saracenic style, the highlight being the huge prayer hall topped by a shimmering golden dome. Both regarding its glorious appearance, and the sheer size, the Sultan Mosque is a must-visit if one is in the Kampong Glam district."
Raffles Place,4.3,"Raffles Place is a commercial space located at the south of Singapore River. Known as the heart of Singapore’s Financial District, Raffles Place is occupied with skyscrapers like the UOB Plaza which is known to hold exhibitions, Change Alley where travellers can get their currency changed, and the Lau Pa Sat from where one can buy art and craft items and enjoy some cultural performances."
Images Of Singapore LIVE,4.3,"Take an immersive trip to the Singapore of over 200 years ago at Images of Singapore Live, at Sentosa Island. This unique time-travel experience covers the rich and colourful past of Singapore with its 15 interactive exhibits. The 45-minute guided tour takes one through a journey of Singapore's growth from a seaside fishing village to a bustling metropolis."
Suntec City,4.2,"Suntec City is a commercial hub and shopping complex situated in Marina Centre. It houses a mall (one of the largest), an international exhibition and convention centre, a movie theatre along with a video arcade. Located at the centre of this humdrum is the famous ""Fountain of Wealth"" - the world's largest fountain."
Wings Of Time,4.1,"Wings of Time is a permanent outdoor light show at Siloso Beach. This award-winning show is a magical spectacle of pyrotechnics, robotic water fountains, a thrilling soundtrack, lasers, and a compelling storyline."
Singapore National Library,4.1,"The proud flagship building of the National Library Board, the National Library in Singapore boasts of having a sprawling collection of books, rare collections as well as some exhibition spaces. Located on Victoria Street, the library is spread over an expansive area of more than 11,000 square meters and is a paradise on earth for the bookworms and bibliophiles."
[email protected],3.9,"The [email protected] is an iconic 50-storey residential housing project in Singapore considered modern architecture at its finest. Located at city centre, is the site of the world's longest continuous sky gardens, found on the two unique skybridges of this residential complex at the 26th storey and the 50th storey. These skybridges offer breathtaking panoramic views of the splendid skyline of Singapore."
Chek Jawa,3.9,"Tanjung Chek Jawa, usually known as Chek Jawa, is an extensive wetland measuring 100 hectares, located to the South East of the Pulau Ubin island near the main island of Singapore. It is a vibrant mix of 6 diverse habitats, making it one of the richest ecosystems across the world. The visitors are amazed to find sandy and rock-filled beaches in close conjunction to a coral & seagrass lagoon as well as mangrove and coastal forests. Chek Jawa is one of the most popular sightseeing spots in Singapore, especially for nature lovers, bird watchers and international tourists."
ION Sky,3.8,"ION Sky is the stunning observation deck located on the 56th floor of the very famous ION Orchard Mall in Singapore. At 280 metres above ground, the 360-degree panoramic view of the Lion City from atop this spectacular observation deck is mind-stirring. ION Sky houses state-of-the-art BEHOLDTIM telescope, the first of its kind in Asia, guaranteeing the best views by both day and night. A multimedia animation show depicting Singapore's immersive history is also worth experiencing."
Sri Veeramakaliamman Temple,3.8,"Located in the heart of Little India, Sri Veeramakaliamman Temple is one of the oldest and grandest Hindu temples in Singapore. It is dedicated to Veeramakaliamman or the goddess Kali, the fierce embodiment of Shakti, and the 'destroyer of evil'."
Singapore City Gallery,3.8,"Singapore City Gallery is a three-storey visitor centre located between the historic Chinatown and the Centre Business District, famed for housing an enormous model replica of Singapore. Formerly known as the URA Gallery, the City Gallery traces the evolution of Singapore's physical transformation spread across 10 thematic areas and 50 audiovisual interactive exhibitions. Singapore City Gallery should definitely be visited by architecture and history lovers."
St Andrew's Cathedral,3.8,"St Andrew's Cathedral is the largest and oldest Anglican cathedral and a Neo-Gothic architectural landmark standing magnificently in the Civic District of Singapore. With its white-stone walls, sky rising spire, lancet-shaped windows, intricate embellishments, and colourfully stained glass windows, St. Andrew's Cathedral is an awe-inspiring beauty. The stained-glass windows are dedicated to three gentlemen who played significant roles in Singaporean history - John Crawford, William Butterworth, and Stamford Raffles."
Kranji War Memorial,3.7,"The Kranji War Memorial, located at Kranji suburb of Singapore, commemorates the men and women from the Commonwealth who had lost lives during their service in the Second World War. The calm and beautiful cemetery has more than 4,400 white gravestones lined up in rows on the cemetery's slope, honouring men and women from Australia, Britain, Canada, India, Malaya, Netherlands, New Zealand and Sri Lanka."
Robertson Quay,3.7,"The largest wharf in Singapore, followed by Boat Quay and Clarke Quay, Robertson Quay has always been the centre of nightlife for Singapore. This giant 50-hectare place is about 1.5 km south from the mouth of the Singapore River and ends near Kim Seng Bridge. Robertson Quay is a lively place for all to visit and take in the cultural mix up. With a large array of shopping malls, hotels, chic cafes, and activities littering the quay and its surroundings, Robertson Quay is definitely the perfect place to spend a luxurious and relaxing evening."
Baba House,3.7,"Built in the 1890s, Baba House is the beautifully restored and renovated three-story ancestral home of a Peranakan Chinese family. Located at 157 Neil Road at the heart of Singapore’s Blair Plain district, it is a place that excites visitors who are eager to learn more about the life of the Peranakan Chinese people residing here at the early part of the twentieth century."
